,url_path,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions,url,label
189,mizrah.ru-1702729350767,0,0,0,0,115902,26930,0,mizrah.ru,1
531,themelike.net-1702767855578,0,0,0,0,21280,2500,0,themelike.net,1
552,nootonic.de-1702733568757,0,0,0,0,26049,34100,0,nootonic.de,1
683,collegewins.com-1702635787319,0,0,0,0,355553,27860,0,collegewins.com,1
1162,vsego.ru-1702782086726,0,0,0,0,167508,32010,0,vsego.ru,1
1165,benimevim.org-1702629129283,0,0,0,0,39961,2300,0,benimevim.org,1
1173,dariodomi.de-1702658864039,0,0,0,0,179035,8580,0,dariodomi.de,1
1314,desichords.com-1702666145987,0,0,0,1,20808,2380,0,desichords.com,1
1508,gceguide.xyz-1702710353939,0,0,0,1,87651,9090,0,gceguide.xyz,1
1511,meltingmots.com-1702727944579,0,0,0,0,241418,40250,0,meltingmots.com,1
1532,publishyourarticles.net-1702742065558,0,0,0,0,249495,16360,0,publishyourarticles.net,1
1654,eluniversodelosencillo.com-1702704583416,0,0,0,0,26833,2750,0,eluniversodelosencillo.com,1
1696,thegreekz.com-1702767662640,0,0,0,0,118287,40600,0,thegreekz.com,1
1775,justproxy.co.uk-1702720907239,0,0,0,0,36576,2420,0,justproxy.co.uk,1
1829,pirateiro.com-1702738637701,0,0,0,0,85480,25750,0,pirateiro.com,1
1864,streamaclic.fr-1702750550925,0,0,0,0,203146,24010,0,streamaclic.fr,1
1914,wow-dota.ru-1702784939751,0,0,0,0,21528,3640,0,wow-dota.ru,1
1959,crypto-loot.com-1702647193585,0,0,0,0,83742,2510,0,crypto-loot.com,1
1977,referatu.net.ua-1702743724695,0,0,0,0,245669,26390,0,referatu.net.ua,1
2068,primeassteens.com-1702740774213,0,0,0,2,123731,14430,0,primeassteens.com,1
2367,mumbaimylove.com-1702730704517,0,0,0,0,16566,2520,0,mumbaimylove.com,1
2412,sabayacafe.com-1702745272307,0,0,0,0,20460,3300,0,sabayacafe.com,1
2583,wolfsdungeon.com-1702784719096,0,0,0,0,115693,4550,0,wolfsdungeon.com,1
2815,lines-98.ru-1702724780715,0,0,0,0,92557,6430,0,lines-98.ru,1
2919,fechadecobro.com-1702706747885,0,0,0,0,2095923,60250,0,fechadecobro.com,1
3098,primejb.net-1702740975377,0,0,0,0,19065,2600,0,primejb.net,1
3205,torrage.com-1702777206335,0,0,0,0,18738,2320,0,torrage.com,1
3322,primejailbait.com-1702740855368,0,0,0,0,51411,2420,0,primejailbait.com,1
